0.5,0.0
0.5,1.3427437104900861
0.5,1.3427437104900861
0.5,1.3427437104900861
0.5,1.3427437104900861
0.5,1.3427437104900861
0.5,1.3427437104900861
0.5,1.3427437104900861
0.5,NaN
0.5,NaN
0.5,NaN
0.5,NaN
0.5,NaN
0.5,NaN
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,NaN
0.5,NaN
0.5,NaN
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,NaN,NaN
0.5,NaN,NaN
0.5,NaN,NaN
0.5,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.5,NaN,NaN
0.5,NaN,NaN
0.5,NaN,NaN
0.5,NaN
0.5,NaN
0.5,NaN
